# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Fri Apr 25 20:48:42 UTC 2025
# PARSEC isochrones, release v1.1 (Bressan et al. 2012)
# Basic reference: Bressan et al. (2012), MNRAS, 427, 127
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Gmag    G_BPmag  G_RPmag
9.8116e-05 -2.19174 10.07918 0.1000000015 1.1711064122    0.100 -2.670  3.6078  5.491    0 11.446 11.679 12.395 10.855
9.8116e-05 -2.19174 10.07918 0.1105000600 1.2532742138    0.110 -2.486  3.6235  5.413    0 10.984 11.172 11.833 10.386
9.8116e-05 -2.19174 10.07918 0.1199999973 1.3193154249    0.120 -2.333  3.6365  5.348    0 10.603 10.753 11.371 9.996
9.8116e-05 -2.19174 10.07918 0.1400000006 1.4384526719    0.140 -2.146  3.6473  5.271    0 10.135 10.253 10.837 9.520
9.8116e-05 -2.19174 10.07918 0.1599999964 1.5372931554    0.160 -2.004  3.6539  5.214    0 9.781 9.878 10.442 9.161
9.8116e-05 -2.19174 10.07918 0.2000000030 1.6938790862    0.200 -1.797  3.6625  5.138    0 9.263 9.340 9.880 8.642
9.8116e-05 -2.19174 10.07918 0.2500000000 1.8403257998    0.250 -1.614  3.6699  5.082    0 8.806 8.866 9.385 8.186
9.8116e-05 -2.19174 10.07918 0.3000000417 1.9529140366    0.300 -1.475  3.6757  5.045    0 8.457 8.505 9.008 7.838
9.8116e-05 -2.19174 10.07918 0.3499999940 2.0434174644    0.350 -1.360  3.6808  5.017    0 8.170 8.207 8.696 7.551
9.8116e-05 -2.19174 10.07918 0.4000000060 2.1185024399    0.400 -1.261  3.6853  4.994    0 7.922 7.952 8.428 7.306
9.8116e-05 -2.19174 10.07918 0.4041539729 2.1241873886    0.404 -1.251  3.6859  4.990    0 7.896 7.925 8.401 7.281
9.8116e-05 -2.19174 10.07918 0.4326517880 2.1612426058    0.432 -1.180  3.6895  4.964    0 7.720 7.743 8.208 7.107
9.8116e-05 -2.19174 10.07918 0.4499999881 2.1822809009    0.450 -1.136  3.6918  4.946    0 7.609 7.629 8.088 6.998
9.8116e-05 -2.19174 10.07918 0.4552758932 2.1884708605    0.455 -1.120  3.6929  4.940    0 7.570 7.588 8.044 6.960
9.8116e-05 -2.19174 10.07918 0.4888923168 2.2258354793    0.489 -1.022  3.7001  4.901    0 7.324 7.333 7.770 6.722
9.8116e-05 -2.19174 10.07918 0.5000000000 2.2374541529    0.500 -0.990  3.7025  4.889    0 7.244 7.251 7.682 6.645
