# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Fri Apr 25 20:57:46 UTC 2025
# PARSEC isochrones, release v1.1 (Bressan et al. 2012)
# Basic reference: Bressan et al. (2012), MNRAS, 427, 127
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.00031003 -1.70000 10.07918 0.7357572913 2.3939819805    0.735  0.035  3.7975  4.411    0 4.682 4.664 4.900 4.265
0.00031003 -1.70000 10.07918 0.7429407239 2.3969937441    0.742  0.083  3.8005  4.380    0 4.563 4.545 4.776 4.153
0.00031003 -1.70000 10.07918 0.7498993278 2.3998480612    0.749  0.131  3.8034  4.346    0 4.441 4.423 4.649 4.037
0.00031003 -1.70000 10.07918 0.7584969997 2.4032916545    0.757  0.197  3.8066  4.299    0 4.278 4.259 4.480 3.880
0.00031003 -1.70000 10.07918 0.7643799186 2.4055966534    0.763  0.245  3.8086  4.262    0 4.157 4.137 4.355 3.763
0.00031003 -1.70000 10.07918 0.7679396868 2.4069717078    0.767  0.276  3.8096  4.237    0 4.080 4.060 4.276 3.688
0.00031003 -1.70000 10.07918 0.7734246850 2.4090619659    0.772  0.326  3.8111  4.196    0 3.955 3.934 4.147 3.566
0.00031003 -1.70000 10.07918 0.7772360444 2.4104944616    0.776  0.363  3.8117  4.163    0 3.862 3.840 4.052 3.473
0.00031003 -1.70000 10.07918 0.7785550356 2.4109864480    0.777  0.377  3.8116  4.150    0 3.827 3.804 4.017 3.438
0.00031003 -1.70000 10.07918 0.7836658955 2.4128748347    0.782  0.436  3.8102  4.088    0 3.680 3.656 3.870 3.288
0.00031003 -1.70000 10.07918 0.7875348926 2.4142856415    0.786  0.487  3.8072  4.027    0 3.552 3.527 3.745 3.152
