time,x,y,z,v_x,v_y,v_z
-2120.0,2.719200165766739,-29.562412782974345,-37.06522911018089,-0.0014839375693992828,-0.005754457795160409,0.0041464819357481955
-2117.9296875,2.7161349947390896,-29.574435380760818,-37.05676977939693,-0.001483983744510313,-0.005753826264170842,0.004147238565472292
-2116.1181640625,2.713452970089896,-29.584955153823984,-37.04936786496097,-0.0014840241477324643,-0.005753273674554971,0.004147900616480877
-2114.0478515625,2.710387799062247,-29.59697775161046,-37.04090853417702,-0.0014840703228434947,-0.005752642143565402,0.004148657246204973
-2111.9775390625,2.7073226280345972,-29.609000349396936,-37.032449203393064,-0.0014841164979545248,-0.005752010612575836,0.004149413875929071
-2109.9072265625,2.704257457006948,-29.621022947183413,-37.02398987260911,-0.0014841626730655551,-0.005751379081586267,0.004150170505653167
-2108.095703125,2.701575432357755,-29.63154272024658,-37.016587958173155,-0.0014842030762877067,-0.0057508264919703955,0.004150832556661752
-2106.025390625,2.6985102613301053,-29.64356531803305,-37.0081286273892,-0.0014842492513987369,-0.005750194960980829,0.004151589186385848
-2103.955078125,2.6954450903024556,-29.655587915819527,-36.99966929660524,-0.0014842954265097672,-0.0057495634299912605,0.004152345816109945
-2101.884765625,2.6923799192748064,-29.667610513606004,-36.99120996582129,-0.0014843416016207974,-0.005748931899001693,0.004153102445834042
-2100.0732421875,2.6896978946256134,-29.67813028666917,-36.98380805138533,-0.0014843820048429488,-0.005748379309385822,0.004153764496842626
-2098.0029296875,2.6866327235979637,-29.690152884455646,-36.975348720601374,-0.0014844281799539791,-0.005747747778396254,0.004154521126566724
-2095.9326171875,2.6835675525703144,-29.70217548224212,-36.966889389817425,-0.0014844743550650092,-0.005747116247406686,0.00415527775629082
-2094.12109375,2.680885527921121,-29.712695255305285,-36.959487475381465,-0.0014845147582871609,-0.005746563657790815,0.004155939807299404
-2092.05078125,2.677812927765921,-29.724597328684293,-36.950891706615735,-0.0014845553189018269,-0.005745912643905354,0.004156678957198211
-2089.98046875,2.6747319693190486,-29.736363803617266,-36.94214243551221,-0.001484589562812696,-0.0057452397103899796,0.0041573984410625915
-2087.91015625,2.6716510108721763,-29.74813027855024,-36.93339316440868,-0.0014846238067235654,-0.005744566776874605,0.004158117924926972
-2086.0986328125,2.668955172231163,-29.75842594411659,-36.92573755219309,-0.0014846537701455758,-0.005743977960048651,0.004158747473308306
-2084.0283203125,2.6658742137842903,-29.77019241904956,-36.91698828108956,-0.0014846880140564449,-0.005743305026533276,0.004159466957172686
-2081.9580078125,2.662793255337418,-29.781958893982534,-36.908239009986026,-0.0014847222579673141,-0.005742632093017902,0.004160186441037067
-2079.8876953125,2.659712296890546,-29.793725368915503,-36.8994897388825,-0.0014847565018781834,-0.005741959159502526,0.004160905924901448
-2078.076171875,2.657016458249532,-29.804021034481856,-36.89183412666691,-0.0014847864653001939,-0.005741370342676574,0.004161535473282781
-2076.005859375,2.65393549980266,-29.815787509414825,-36.88308485556338,-0.0014848207092110631,-0.005740697409161198,0.004162254957147162
-2073.935546875,2.6508545413557876,-29.827553984347798,-36.87433558445985,-0.0014848549531219322,-0.005740024475645823,0.004162974441011543
-2072.1240234375,2.648158702714774,-29.837849649914148,-36.86667997224426,-0.0014848849165439429,-0.00573943565881987,0.004163603989392876
-2070.0537109375,2.6450777442679017,-29.84961612484712,-36.85793070114073,-0.0014849191604548119,-0.005738762725304495,0.0041643234732572565
-2067.9833984375,2.6419967858210294,-29.861382599780093,-36.8491814300372,-0.0014849534043656811,-0.0057380897917891195,0.004165042957121637
-2065.9130859375,2.638915827374157,-29.873149074713066,-36.84043215893367,-0.0014849876482765504,-0.005737416858273745,0.0041657624409860185
-2064.1015625,2.6362199887331434,-29.883444740279415,-36.83277654671808,-0.0014850176116985607,-0.005736828041447792,0.004166391989367351
-2062.03125,2.633139030286271,-29.895211215212388,-36.824027275614554,-0.0014850518556094301,-0.005736155107932416,0.004167111473231732
-2059.9609375,2.630058071839399,-29.90697769014536,-36.81527800451102,-0.0014850860995202992,-0.005735482174417042,0.004167830957096113
-2057.890625,2.626977113392526,-29.918744165078333,-36.80652873340749,-0.0014851203434311682,-0.005734809240901666,0.004168550440960494
-2056.0791015625,2.624281274751513,-29.929039830644683,-36.7988731211919,-0.001485150306853179,-0.005734220424075714,0.004169179989341827
-2054.0087890625,2.6212003163046407,-29.940806305577656,-36.79012385008837,-0.001485184550764048,-0.005733547490560338,0.004169899473206208
-2051.9384765625,2.6181193578577684,-29.952572780510625,-36.781374578984845,-0.0014852187946749172,-0.005732874557044963,0.004170618957070589
-2050.126953125,2.6154235192167548,-29.96286844607698,-36.77371896676925,-0.0014852487580969277,-0.00573228574021901,0.004171248505451921
-2048.056640625,2.6123425607698825,-29.974634921009947,-36.76496969566573,-0.0014852830020077967,-0.005731612806703635,0.004171967989316303
-2045.986328125,2.60926160232301,-29.98640139594292,-36.756220424562194,-0.0014853172459186662,-0.0057309398731882595,0.0041726874731806834
-2043.916015625,2.6061806438761375,-29.998167870875893,-36.74747115345867,-0.0014853514898295352,-0.005730266939672885,0.004173406957045064
-2042.1044921875,2.6034848052351243,-30.008463536442243,-36.739815541243075,-0.001485381453251546,-0.005729678122846932,0.004174036505426398
-2040.0341796875,2.600403846788252,-30.020230011375215,-36.73106627013955,-0.001485415697162415,-0.005729005189331557,0.004174755989290778
-2037.9638671875,2.5973228883413793,-30.031996486308188,-36.72231699903602,-0.001485449941073284,-0.005728332255816182,0.00417547547315516
-2035.8935546875,2.594241929894507,-30.04376296124116,-36.713567727932485,-0.0014854841849841535,-0.005727659322300807,0.004176194957019539
-2034.08203125,2.5915460912534938,-30.05405862680751,-36.7059121157169,-0.0014855141484061637,-0.005727070505474854,0.004176824505400873
-2032.01171875,2.5884651328066215,-30.065825101740483,-36.697162844613366,-0.0014855483923170332,-0.005726397571959479,0.0041775439892652545
-2029.94140625,2.5853841743597488,-30.077591576673456,-36.68841357350984,-0.0014855826362279022,-0.005725724638444105,0.004178263473129635
-2027.87109375,2.5823032159128765,-30.089358051606425,-36.67966430240631,-0.0014856168801387713,-0.005725051704928729,0.004178982956994016
-2026.0595703125,2.5796073772718633,-30.099653717172778,-36.67200869019072,-0.001485646843560782,-0.005724462888102776,0.004179612505375349
-2023.9892578125,2.5765264188249906,-30.111420192105747,-36.66325941908719,-0.001485681087471651,-0.005723789954587401,0.00418033198923973
-2021.9189453125,2.5734454603781183,-30.12318666703872,-36.65451014798366,-0.0014857153313825205,-0.005723117021072026,0.0041810514731041104
-2020.107421875,2.570749621737105,-30.13348233260507,-36.64685453576807,-0.0014857452948045307,-0.005722528204246073,0.004181681021485444
-2018.037109375,2.5676686632902324,-30.145248807538042,-36.63810526466454,-0.0014857795387154002,-0.005721855270730698,0.004182400505349825
-2015.966796875,2.56458770484336,-30.157015282471015,-36.62935599356101,-0.0014858137826262692,-0.0057211823372153225,0.004183119989214205
-2013.896484375,2.561506746396488,-30.168781757403988,-36.62060672245748,-0.0014858480265371383,-0.005720509403699947,0.004183839473078586
-2012.0849609375,2.5588109077554746,-30.179077422970337,-36.612951110241895,-0.001485877989959149,-0.005719920586873995,0.0041844690214599195
-2010.0146484375,2.555729949308602,-30.19084389790331,-36.60420183913836,-0.001485912233870018,-0.005719247653358619,0.0041851885053243
-2007.9443359375,2.5526489908617296,-30.202610372836283,-36.59545256803483,-0.0014859464777808873,-0.005718574719843245,0.004185907989188681
-2005.8740234375,2.5495680324148573,-30.214376847769255,-36.586703296931304,-0.0014859807216917565,-0.005717901786327869,0.004186627473053062
-2004.0625,2.5468721937738437,-30.224672513335605,-36.57904768471571,-0.001486010685113767,-0.005717312969501916,0.004187257021434395
-2001.9921875,2.5437912353269714,-30.236438988268578,-36.570298413612186,-0.0014860449290246363,-0.005716640035986541,0.004187976505298775
-1999.921875,2.540710276880099,-30.248205463201547,-36.56154914250865,-0.0014860791729355053,-0.005715967102471166,0.004188695989163157
-1998.1103515625,2.5380144382390855,-30.2585011287679,-36.55389353029307,-0.001486109136357516,-0.005715378285645213,0.00418932553754449
-1996.0400390625,2.534933479792213,-30.27026760370087,-36.545144259189534,-0.001486143380268385,-0.005714705352129838,0.00419004502140887
-1993.9697265625,2.531852521345341,-30.282034078633842,-36.536394988086,-0.0014861776241792543,-0.0057140324186144625,0.004190764505273252
-1991.8994140625,2.5287715628984686,-30.293800553566815,-36.52764571698248,-0.0014862118680901235,-0.005713359485099088,0.004191483989137632
-1990.087890625,2.526075724257455,-30.304096219133164,-36.51999010476688,-0.001486241831512134,-0.005712770668273135,0.004192113537518965
-1988.017578125,2.5229947658105827,-30.315862694066137,-36.51124083366336,-0.001486276075423003,-0.005712097734757759,0.0041928330213833465
-1985.947265625,2.5199138073637104,-30.32762916899911,-36.502491562559825,-0.0014863103193338723,-0.005711424801242385,0.004193552505247727
-1983.876953125,2.5168328489168377,-30.339395643932082,-36.4937422914563,-0.0014863445632447415,-0.00571075186772701,0.004194271989112108
-1982.0654296875,2.5141370102758245,-30.349691309498432,-36.48608667924071,-0.001486374526666752,-0.005710163050901057,0.004194901537493441
-1979.9951171875,2.511056051828952,-30.361457784431405,-36.47733740813718,-0.0014864087705776213,-0.005709490117385682,0.004195621021357822
-1977.9248046875,2.50797509338208,-30.373224259364378,-36.46858813703365,-0.0014864430144884903,-0.005708817183870307,0.004196340505222202
-1976.11328125,2.5052792547410663,-30.383519924930727,-36.46093252481806,-0.001486472977910501,-0.005708228367044353,0.004196970053603536
-1974.04296875,2.502198296294194,-30.3952863998637,-36.45218325371453,-0.00148650722182137,-0.005707555433528979,0.004197689537467917
-1971.97265625,2.4991173378473217,-30.40705287479667,-36.443433982611,-0.0014865414657322393,-0.005706882500013604,0.004198409021332298
-1969.90234375,2.496036379400449,-30.41881934972964,-36.43468471150747,-0.0014865757096431086,-0.005706209566498229,0.004199128505196679
-1968.0908203125,2.493340540759436,-30.42911501529599,-36.42702909929188,-0.0014866056730651188,-0.0057056207496722754,0.0041997580535780114
-1966.0205078125,2.4902595823125635,-30.440881490228964,-36.41827982818835,-0.0014866399169759883,-0.005704947816156901,0.004200477537442393
-1963.9501953125,2.4871786238656908,-30.452647965161937,-36.40953055708482,-0.0014866741608868573,-0.0057042748826415255,0.0042011970213067735
-1961.8798828125,2.4840976654188185,-30.46441444009491,-36.40078128598129,-0.0014867084047977264,-0.00570360194912615,0.004201916505171154
-1960.068359375,2.4814018267778053,-30.47471010566126,-36.3931256737657,-0.001486738368219737,-0.0057030131323001975,0.004202546053552488
-1957.998046875,2.4783208683309326,-30.486476580594232,-36.38437640266217,-0.001486772612130606,-0.005702340198784822,0.004203265537416868
-1955.927734375,2.4752399098840603,-30.498243055527205,-36.375627131558645,-0.0014868068560414756,-0.005701667265269447,0.004203985021281249
-1954.1162109375,2.472544071243047,-30.508538721093554,-36.36797151934305,-0.0014868368194634858,-0.005701078448443494,0.004204614569662582
-1952.0458984375,2.469463112796175,-30.520305196026527,-36.359222248239526,-0.0014868710633743553,-0.005700405514928119,0.004205334053526963
-1949.9755859375,2.466382154349302,-30.5320716709595,-36.35047297713599,-0.0014869053072852243,-0.005699732581412744,0.004206053537391344
-1947.9052734375,2.46330119590243,-30.54383814589247,-36.34172370603246,-0.0014869395511960934,-0.005699059647897369,0.004206773021255724
-1946.09375,2.4606053572614166,-30.554133811458822,-36.334068093816875,-0.001486969514618104,-0.005698470831071415,0.004207402569637058
-1944.0234375,2.457524398814544,-30.565900286391795,-36.32531882271334,-0.0014870037585289731,-0.005697797897556041,0.004208122053501438
-1941.953125,2.4544434403676716,-30.577666761324764,-36.31656955160982,-0.0014870380024398426,-0.0056971249640406655,0.004208841537365819
-1939.8828125,2.4513624819207993,-30.589433236257737,-36.307820280506284,-0.0014870722463507116,-0.00569645203052529,0.0042095610212302004
-1938.0712890625,2.448666643279786,-30.599728901824086,-36.3001646682907,-0.0014871022097727223,-0.0056958632136993375,0.004210190569611533
-1936.0009765625,2.4455856848329134,-30.61149537675706,-36.291415397187166,-0.0014871364536835914,-0.005695190280183962,0.004210910053475914
-1933.9306640625,2.442504726386041,-30.62326185169003,-36.28266612608363,-0.0014871706975944604,-0.005694517346668588,0.004211629537340295
-1932.119140625,2.439808887745028,-30.63355751725638,-36.27501051386805,-0.001487200661016471,-0.005693928529842634,0.004212259085721628
-1930.048828125,2.436727929298155,-30.645323992189354,-36.266261242764514,-0.0014872349049273401,-0.005693255596327259,0.004212978569586009
-1927.978515625,2.433646970851283,-30.657090467122327,-36.25751197166099,-0.0014872691488382094,-0.005692582662811884,0.004213698053450389
-1925.908203125,2.4305660124044106,-30.6688569420553,-36.24876270055746,-0.0014873033927490786,-0.00569190972929651,0.004214417537314771
-1924.0966796875,2.427870173763397,-30.67915260762165,-36.24110708834187,-0.001487333356171089,-0.005691320912470556,0.004215047085696104
-1922.0263671875,2.4247892153165247,-30.690919082554622,-36.23235781723834,-0.0014873676000819584,-0.005690647978955182,0.004215766569560484
-1919.9560546875,2.4217082568696524,-30.70268555748759,-36.22360854613481,-0.0014874018439928274,-0.005689975045439806,0.004216486053424865
-1917.8857421875,2.41862729842278,-30.714452032420564,-36.21485927503128,-0.0014874360879036964,-0.005689302111924432,0.004217205537289246
-1916.07421875,2.4159314597817665,-30.724747697986913,-36.207203662815694,-0.0014874660513257071,-0.005688713295098478,0.00421783508567058
-1914.00390625,2.412850501334894,-30.736514172919886,-36.19845439171216,-0.0014875002952365762,-0.005688040361583104,0.00421855456953496
-1911.93359375,2.409769542888022,-30.74828064785286,-36.18970512060863,-0.0014875345391474454,-0.005687367428067728,0.004219274053399342
-1910.1220703125,2.4070737042470083,-30.75857631341921,-36.18204950839304,-0.001487564502569456,-0.005686778611241775,0.0042199036017806744
-1908.0517578125,2.403992745800136,-30.77034278835218,-36.17330023728951,-0.0014875987464803252,-0.0056861056777264005,0.004220623085645055
-1905.9814453125,2.4009117873532637,-30.782109263285154,-36.164550966185985,-0.0014876329903911944,-0.005685432744211025,0.0042213425695094365
-1903.9111328125,2.3978308289063914,-30.793875738218127,-36.15580169508245,-0.0014876672343020635,-0.00568475981069565,0.004222062053373817
-1902.099609375,2.395134990265378,-30.804171403784476,-36.148146082866866,-0.0014876971977240742,-0.005684170993869697,0.00422269160175515
-1900.029296875,2.3920540318185055,-30.81593787871745,-36.13939681176333,-0.0014877314416349432,-0.005683498060354322,0.00422341108561953
-1897.958984375,2.3889730733716332,-30.82770435365042,-36.1306475406598,-0.0014877656855458124,-0.005682825126838946,0.004224130569483912
-1895.888671875,2.3858921149247605,-30.83947082858339,-36.121898269556276,-0.0014877999294566817,-0.005682152193323572,0.004224850053348292
-1894.0771484375,2.3831962762837473,-30.849766494149744,-36.11424265734068,-0.0014878298928786922,-0.005681563376497618,0.004225479601729625
-1892.0068359375,2.380115317836875,-30.861532969082717,-36.10549338623716,-0.0014878641367895612,-0.005680890442982244,0.004226199085594007
-1889.9365234375,2.3770343593900023,-30.873299444015686,-36.096744115133625,-0.0014878983807004305,-0.005680217509466868,0.004226918569458387
-1888.125,2.374338520748989,-30.88359510958204,-36.08908850291804,-0.001487928344122441,-0.005679628692640916,0.00422754811783972
-1886.0546875,2.371257562302117,-30.89536158451501,-36.080339231814506,-0.0014879625880333102,-0.0056789557591255405,0.0042282676017041014
-1883.984375,2.3681766038552445,-30.90712805944798,-36.07158996071097,-0.0014879968319441795,-0.005678282825610165,0.004228987085568482
-1881.9140625,2.365095645408372,-30.918894534380954,-36.06284068960745,-0.0014880310758550485,-0.00567760989209479,0.004229706569432863
-1880.1025390625,2.3623998067673586,-30.929190199947303,-36.055185077391855,-0.0014880610392770592,-0.005677021075268837,0.004230336117814196
-1878.0322265625,2.3593188483204863,-30.940956674880276,-36.04643580628833,-0.0014880952831879282,-0.005676348141753462,0.004231055601678577
-1875.9619140625,2.3562378898736136,-30.95272314981325,-36.0376865351848,-0.0014881295270987975,-0.005675675208238087,0.004231775085542957
-1873.8916015625,2.3531569314267413,-30.96448962474622,-36.028937264081264,-0.0014881637710096667,-0.005675002274722713,0.004232494569407338
-1872.080078125,2.350461092785728,-30.97478529031257,-36.02128165186568,-0.001488193734431677,-0.005674413457896758,0.004233124117788672
-1870.009765625,2.347380134338856,-30.986551765245544,-36.012532380762146,-0.0014882279783425465,-0.005673740524381384,0.004233843601653052
-1867.939453125,2.344299175891983,-30.998318240178513,-36.00378310965862,-0.0014882622222534155,-0.005673067590866009,0.004234563085517433
-1866.1279296875,2.34160333725097,-31.008613905744866,-35.99612749744303,-0.0014882921856754262,-0.005672478774040056,0.004235192633898766
-1864.0576171875,2.3385223788040976,-31.02038038067784,-35.9873782263395,-0.0014883264295862952,-0.005671805840524681,0.004235912117763148
-1861.9873046875,2.335441420357225,-31.032146855610808,-35.97862895523597,-0.0014883606734971643,-0.005671132907009306,0.0042366316016275276
-1859.9169921875,2.3323604619103526,-31.04391333054378,-35.969879684132444,-0.0014883949174080337,-0.005670459973493931,0.004237351085491909
-1858.10546875,2.3296646232693394,-31.05420899611013,-35.96222407191685,-0.001488424880830044,-0.005669871156667978,0.004237980633873243
