index,pericenter,apocenter
2169,64.22616719411971,107.67503978621691
2170,54.173199908582184,100.97953714617839
2171,60.60529304941393,118.23043131448999
2172,59.18834918599103,114.6079881639167
2173,55.590719878061186,103.30948359407483
2174,54.5340483360143,100.00762693122479
2175,54.48271254522608,100.43765404868753
2176,52.797067121799834,95.56453525518268
2177,57.48785668926548,108.02348912735145
2178,52.03421663171706,92.80490136424088
2179,53.65715201482647,97.27813650260181
2180,56.51340791567709,106.84728835497448
2181,55.020846012239396,101.29404024218931
2182,57.40290287885599,110.05369003805602
2183,57.59807358758265,109.1611226597656
2184,55.7906727491108,103.81945852796608
2185,54.069498741670046,98.02533125999554
2186,53.24224962751059,96.5297539275622
2187,54.735309487691154,100.26780391413985
2188,57.943979911425956,111.51162435951369
2189,56.9939199414434,107.00183185981875
2190,57.01573053078103,108.69471639465692
2191,55.69969401436456,103.94692905211647
2192,58.936728843795414,112.69948069080279
2193,59.452037329957655,116.1092695349748
2194,56.32305455658307,105.76077624485968
2195,55.323067902538035,101.73237785805186
2196,55.650329739673175,102.64181706105762
2197,55.01590768370236,101.65439975664182
2198,52.96120534485727,96.02937534100916
2199,56.9352469737931,108.19315897645129
2200,54.81797384189729,101.72070008551351
2201,58.91276556635759,112.35815399040969
2202,60.43360369169708,118.28720666642563
2203,58.80426271347386,112.84296584548828
2204,54.24674934704974,99.82717275811987
2205,53.36413434406953,97.39547980578968
2206,56.43013679923784,104.88138839302677
2207,56.93886813037096,106.45361672808025
2208,58.31192058199767,112.61894921070133
2209,58.02888679373509,112.52847923697496
2210,56.928304416184986,105.79027922298255
2211,58.24417457838529,110.9783660098023
2212,58.83419440776104,112.35876262575765
2213,58.798610102565426,113.36001604499322
2214,58.897764978808986,114.96280719079823
2215,59.58766469252174,117.83186658393197
2216,57.280814358320825,108.74341732864367
2217,54.20641091093914,98.41846200516851
2218,53.886117496106515,97.59182013497502
2219,57.18238479699923,106.11543988431627
2220,55.93675769057454,102.16764520572161
2221,60.239326791744425,117.50366360736842
2222,57.03405699812997,107.11268936028729
2223,55.24559115317569,103.402012863122
2224,57.41932898932333,108.76990109877445
2225,55.308011316252426,100.59211027039102
2226,61.23327270817203,118.80165140970617
2227,61.915297907159115,116.8619516994633
2228,58.24325613220748,109.95198775850186
2229,55.0618708505713,101.39330296048254
2230,59.73497944413422,114.88864232659053
2231,57.918095318560745,108.67218555161179
2232,56.79646019153192,106.31279849337142
2233,56.382241870968805,104.53553939688923
2234,57.67913342987955,107.51148985582952
2235,56.37771759277625,104.83991187532067
2236,56.64363314304847,105.47394416936407
2237,57.28203197596258,107.17901590793352
2238,56.92457377263551,109.87369884373618
2239,57.91065340344361,111.88915449520002
2240,54.36437819709792,98.67175511202416
2241,57.33464448253435,108.17162366337327
2242,57.87179537228191,108.74662045613135
2243,53.53090209856034,97.11997135271194
2244,58.41941064574724,113.11855839630286
2245,55.104700063881936,101.01189117896851
2246,59.53172333934223,116.11654907345142
2247,55.86872011147127,103.4647862604555
2248,56.20134313478982,104.83858100809285
2249,57.78310465294643,108.121330100985
2250,57.69111161339261,111.22671703095132
2251,58.400736781213034,115.06916201949451
2252,57.83588882038896,109.53049206160335
2253,58.133589533232,110.72303885211579
2254,51.07595832578375,91.94026705254807
2255,56.76059724065271,108.22816671345585
2256,57.4186590404882,108.5143337211383
2257,52.841559192053964,94.93588863013369
2258,58.64841292908399,114.60379044096516
2259,56.12930531247811,103.82219632510895
2260,54.341301103910205,100.2205571912417
2261,52.994757402568126,96.95643442997593
2262,60.328313925906706,117.67322592407537
2263,59.34410873175152,117.27030401084808
