t,x,y,z,vx,vy,vz,phi
0.0,-5.253229191698517,-9.771334531257539,-85.37411394889958,-19.545033701266945,-156.80104562166807,94.02527629814549,-161182.17678391532
0.001000100010001,-5.2732061960079495,-9.931686777163106,-85.27771570216922,-19.517665566586402,-156.74982216805208,94.47085174896358,-160550.11849519983
0.002000200020002,-5.293155163371637,-10.091986140348686,-85.18086150762717,-19.490136185295068,-156.69765963868787,94.91683200126468,-159925.7512908326
0.0030003000300030005,-5.313075829091268,-10.252231686462368,-85.08355095078318,-19.46244880127771,-156.64455308983534,95.3632165941758,-159308.91531107694
0.004000400040004,-5.332968080155458,-10.412422434317952,-84.98578361874549,-19.43460123964857,-156.59049954489174,95.81000505458354,-158699.45503854463
0.005000500050005001,-5.352831742148456,-10.572557416312387,-84.88755909867842,-19.40659342458325,-156.53549524415257,96.25719689536439,-158097.2193215453
0.006000600060006001,-5.372666677739879,-10.7326356506707,-84.78887697825807,-19.378423671700098,-156.4795369014872,96.70479161551695,-157502.06118663572
0.0070007000700070005,-5.39247272984792,-10.892656157234354,-84.6897368456773,-19.35009103314,-156.42262098650957,97.15278870022789,-156913.83775440181
0.008000800080008,-5.412249719667943,-11.052617957992775,-84.59013828965887,-19.3215954941419,-156.36474366686454,97.60118762076716,-156332.41011873458
0.009000900090009001,-5.431997478456814,-11.212520068227658,-84.49008089947604,-19.292936623291745,-156.30590122055764,98.04998783416546,-155757.64320960775
0.010001000100010001,-5.451715819043366,-11.372361504106747,-84.3895642649673,-19.264114861089883,-156.24608966667668,98.49918878307818,-155189.4056944254
0.011001100110011,-5.471404608033104,-11.532141263788175,-84.28858797654135,-19.235128035035853,-156.18530572506032,98.94878989573037,-154627.56982232508
0.012001200120012002,-5.491063714838054,-11.691858341088489,-84.1871516251997,-19.20597370449616,-156.12354613682055,99.39879058564925,-154072.01134480067
0.013001300130013,-5.5106929250344505,-11.851511747074298,-84.08525480255983,-19.176653405108596,-156.06080658909138,99.84919025139783,-153522.60945673854
0.014001400140014001,-5.530292023857124,-12.011100488479478,-83.98289710086114,-19.147168742090457,-155.9970827665697,100.29998827653999,-152979.24664004912
0.015001500150015001,-5.549860884701534,-12.170623546282162,-83.88007811297418,-19.117517114724286,-155.93237137816368,100.75118402956964,-152441.80851161198
0.016001600160016,-5.569399324064463,-12.33007991149898,-83.77679743242716,-19.087698744770428,-155.8666684169407,101.20277686357686,-151910.18380700337
0.017001700170017002,-5.588907183886172,-12.489468564977207,-83.67305465341737,-19.057712369513997,-155.79997021524795,101.65476611611274,-151384.26423623395
0.018001800180018002,-5.608384282801205,-12.648788489092851,-83.56884937082759,-19.027557932287767,-155.7322728019806,102.10715110902355,-150863.94441667348
0.019001900190019003,-5.627830457104695,-12.808038657787856,-83.46418118024259,-18.99723441630226,-155.66357241166423,102.55993114824753,-150349.12175955882
0.020002000200020003,-5.647245525761817,-12.967218044955988,-83.35904967796456,-18.966741660844978,-155.59386505812463,103.0131055236529,-149839.69639975633
0.021002100210021003,-5.666629320963204,-13.126325617339381,-83.25345446103111,-18.936078805610933,-155.52314690268224,103.46667350887218,-149335.5710933664
0.022002200220022,-5.6859816650466035,-13.285360339936231,-83.14739512723082,-18.90524549129298,-155.45141396559487,103.92063436111764,-148836.65114654996
