t,x,y,z,v_x,v_y,v_z
-1060.4453870625664,6.209414005279541,1.7608033418655396,-37.21632385253906,0.34615981578826904,-1.34320068359375,-0.19766491651535034
-1059.3849416755038,6.573877334594727,0.3358798921108246,-37.41026306152344,0.34118080139160156,-1.3440184593200684,-0.16813425719738007
-1058.3244962884412,6.9329447746276855,-1.0893218517303467,-37.573001861572266,0.3359851837158203,-1.343729853630066,-0.1388338953256607
-1057.2640509013786,7.286395072937012,-2.513643503189087,-37.70481491088867,0.3305898606777191,-1.342363953590393,-0.10982172936201096
-1056.203605514316,7.6340250968933105,-3.935960292816162,-37.8060417175293,0.3250119984149933,-1.3399540185928345,-0.0811515673995018
-1055.1431601272534,7.975651264190674,-5.3551836013793945,-37.87706756591797,0.31926870346069336,-1.3365367650985718,-0.05287281051278114
-1054.0827147401908,8.31110668182373,-6.770266532897949,-37.9183349609375,0.3133770525455475,-1.3321516513824463,-0.025030335411429405
-1053.0222693531284,8.640243530273438,-8.180204391479492,-37.93032455444336,0.30735379457473755,-1.3268406391143799,0.0023356068413704634
-1051.9618239660658,8.962929725646973,-9.584038734436035,-37.9135627746582,0.301215261220932,-1.320647120475769,0.029189392924308777
-1050.9013785790032,9.279052734375,-10.980856895446777,-37.86860656738281,0.2949773371219635,-1.3136160373687744,0.05549997463822365
-1049.8409331919406,9.588515281677246,-12.369794845581055,-37.79605484008789,0.288655161857605,-1.3057928085327148,0.08124075829982758
-1048.780487804878,9.891234397888184,-13.750036239624023,-37.69651412963867,0.2822633683681488,-1.2972233295440674,0.10638941824436188
-1047.7200424178154,10.187145233154297,-15.120816230773926,-37.57062911987305,0.2758156955242157,-1.2879533767700195,0.13092772662639618
-1046.659597030753,10.476194381713867,-16.481412887573242,-37.41905212402344,0.2693251669406891,-1.278027892112732,0.15484130382537842
-1045.5991516436904,10.758343696594238,-17.831157684326172,-37.24245071411133,0.2628040313720703,-1.2674914598464966,0.17811933159828186
-1044.5387062566278,11.03356647491455,-19.169424057006836,-37.041507720947266,0.2562636137008667,-1.2563875913619995,0.2007542848587036
-1043.4782608695652,11.301847457885742,-20.495634078979492,-36.81690216064453,0.24971450865268707,-1.244758129119873,0.22274169325828552
-1042.4178154825026,11.563183784484863,-21.809249877929688,-36.5693244934082,0.2431664764881134,-1.2326438426971436,0.2440798133611679
-1041.35737009544,11.817580223083496,-23.109779357910156,-36.29946517944336,0.236628457903862,-1.2200839519500732,0.26476940512657166
-1040.2969247083774,12.06505298614502,-24.396770477294922,-36.00800704956055,0.23010864853858948,-1.2071157693862915,0.2848133444786072
-1039.236479321315,12.305624961853027,-25.66980743408203,-35.69563293457031,0.22361445426940918,-1.1937751770019531,0.30421656370162964
-1038.1760339342525,12.539326667785645,-26.928516387939453,-35.36302185058594,0.2171526402235031,-1.1800957918167114,0.32298558950424194
-1037.1155885471899,12.766195297241211,-28.17255401611328,-35.01083755493164,0.2107292264699936,-1.1661100387573242,0.34112846851348877
-1036.0551431601273,12.986275672912598,-29.401611328125,-34.63974380493164,0.20434965193271637,-1.1518481969833374,0.35865452885627747
-1034.9946977730647,13.199616432189941,-30.61540985107422,-34.25038528442383,0.19801872968673706,-1.137338638305664,0.37557411193847656
-1033.934252386002,13.406270027160645,-31.813703536987305,-33.84340286254883,0.1917407214641571,-1.1226083040237427,0.3918984532356262
-1032.8738069989395,13.606297492980957,-32.99626922607422,-33.41941833496094,0.18551935255527496,-1.1076823472976685,0.4076395332813263
-1031.813361611877,13.799757957458496,-34.16291809082031,-32.97904586791992,0.17935790121555328,-1.092584252357483,0.4228098392486572
-1030.7529162248145,13.98671817779541,-35.31346893310547,-32.52288055419922,0.1732591688632965,-1.0773357152938843,0.43742236495018005
-1029.692470837752,14.167244911193848,-36.44778060913086,-32.051513671875,0.16722556948661804,-1.0619573593139648,0.4514904320240021
-1028.6320254506893,14.341408729553223,-37.56572723388672,-31.565507888793945,0.16125912964344025,-1.0464680194854736,0.4650275409221649
-1027.5715800636267,14.509282112121582,-38.66719436645508,-31.06542205810547,0.15536154806613922,-1.0308852195739746,0.47804728150367737
-1026.511134676564,14.670938491821289,-39.75209426879883,-30.551799774169922,0.1495341956615448,-1.0152251720428467,0.49056342244148254
-1025.4506892895017,14.82645320892334,-40.82035446166992,-30.025163650512695,0.14377817511558533,-0.9995030164718628,0.5025895833969116
-1024.3902439024391,14.97590160369873,-41.87191390991211,-29.48603057861328,0.13809432089328766,-0.9837325215339661,0.5141393542289734
-1023.3297985153765,15.119361877441406,-42.90673065185547,-28.934894561767578,0.13248322904109955,-0.9679265022277832,0.5252262353897095
-1022.2693531283139,15.25691032409668,-43.92477035522461,-28.372241973876953,0.12694533169269562,-0.952096700668335,0.53586345911026
-1021.2089077412513,15.388625144958496,-44.92601776123047,-27.798540115356445,0.12148083001375198,-0.9362537860870361,0.5460641384124756
-1020.1484623541888,15.514583587646484,-45.91046142578125,-27.214248657226562,0.11608976125717163,-0.920407772064209,0.5558410286903381
-1019.0880169671262,15.634864807128906,-46.87810516357422,-26.619808197021484,0.110772043466568,-0.9045676589012146,0.5652068257331848
-1018.0275715800636,15.749545097351074,-47.828956604003906,-26.015647888183594,0.10552743822336197,-0.8887416124343872,0.5741736888885498
-1016.967126193001,15.858702659606934,-48.76303482055664,-25.402185440063477,0.1003555953502655,-0.8729372620582581,0.5827536582946777
-1015.9066808059385,15.962413787841797,-49.68037033081055,-24.779823303222656,0.09525607526302338,-0.8571614623069763,0.5909584164619446
-1014.846235418876,16.060754776000977,-50.58099365234375,-24.148956298828125,0.09022832661867142,-0.8414204120635986,0.5987992882728577
-1013.7857900318133,16.1538028717041,-51.46494674682617,-23.509960174560547,0.08527173846960068,-0.8257197141647339,0.6062872409820557
-1012.7253446447509,16.24163246154785,-52.332271575927734,-22.86320686340332,0.08038561791181564,-0.8100645542144775,0.6134331226348877
-1011.6648992576883,16.324317932128906,-53.183021545410156,-22.20905303955078,0.07556923478841782,-0.7944595217704773,0.6202471256256104
-1010.6044538706257,16.401931762695312,-54.01725387573242,-21.54784393310547,0.07082177698612213,-0.7789087295532227,0.6267394423484802
-1009.5440084835632,16.474546432495117,-54.83502197265625,-20.87991714477539,0.06614242494106293,-0.7634158730506897,0.6329196691513062
-1008.4835630965006,16.542236328125,-55.63639450073242,-20.205598831176758,0.06153029203414917,-0.7479842901229858,0.6387972235679626
-1007.423117709438,16.60506820678711,-56.42144012451172,-19.52520179748535,0.05698448792099953,-0.7326170206069946,0.6443812251091003
-1006.3626723223754,16.663116455078125,-57.19021987915039,-18.83903694152832,0.05250408500432968,-0.7173165678977966,0.6496804356575012
-1005.3022269353129,16.716447830200195,-57.942813873291016,-18.147397994995117,0.04808814078569412,-0.7020852565765381,0.6547031998634338
-1004.2417815482503,16.76512908935547,-58.679290771484375,-17.450576782226562,0.043735697865486145,-0.6869251728057861,0.659457802772522
-1003.1813361611877,16.809226989746094,-59.39973068237305,-16.74885368347168,0.03944579139351845,-0.6718380451202393,0.6639519929885864
-1002.1208907741252,16.84881019592285,-60.10421371459961,-16.042497634887695,0.03521744906902313,-0.6568253636360168,0.6681933999061584
-1001.0604453870626,16.883941650390625,-60.79281234741211,-15.331774711608887,0.03104969672858715,-0.641888439655304,0.6721893548965454
-1000.0,16.914684295654297,-61.465614318847656,-14.616941452026367,0.026941558346152306,-0.6270284652709961,0.6759467720985413
-998.9395546129375,16.941102981567383,-62.12269973754883,-13.898246765136719,0.0228920616209507,-0.6122462153434753,0.6794725060462952
-997.8791092258749,16.9632568359375,-62.7641487121582,-13.175933837890625,0.018900234252214432,-0.5975424647331238,0.6827731132507324
-996.8186638388123,16.9812068939209,-63.39004898071289,-12.450237274169922,0.014965117909014225,-0.5829178094863892,0.6858547329902649
-995.7582184517497,16.99501609802246,-64.00048065185547,-11.721385955810547,0.011085757054388523,-0.5683726668357849,0.6887234449386597
-994.6977730646872,17.00473976135254,-64.59553527832031,-10.989603042602539,0.007261206861585379,-0.5539073944091797,0.6913850903511047
-993.6373276776246,17.010435104370117,-65.17529296875,-10.255105018615723,0.0034905346110463142,-0.539522111415863,0.6938452124595642
-992.576882290562,17.012161254882812,-65.73983001708984,-9.518102645874023,-0.00022718180844094604,-0.5252168774604797,0.6961091160774231
-991.5164369034995,17.009971618652344,-66.28924560546875,-8.778800964355469,-0.003892851062119007,-0.5109917521476746,0.6981820464134216
-990.4559915164369,17.003921508789062,-66.82361602783203,-8.037400245666504,-0.00750736752524972,-0.4968464970588684,0.7000688910484314
-989.3955461293743,16.99406623840332,-67.34303283691406,-7.294095516204834,-0.011071612127125263,-0.4827810227870941,0.7017744779586792
-988.3351007423117,16.980457305908203,-67.84757232666016,-6.549076080322266,-0.014586449600756168,-0.4687950015068054,0.7033032774925232
-987.2746553552493,16.96314811706543,-68.33731842041016,-5.80252742767334,-0.018052730709314346,-0.45488807559013367,0.7046597003936768
-986.2142099681867,16.94218635559082,-68.81236267089844,-5.054629325866699,-0.021471286192536354,-0.4410598576068878,0.705847978591919
-985.153764581124,16.917625427246094,-69.27278900146484,-4.305558681488037,-0.024842936545610428,-0.42730990052223206,0.7068721055984497
-984.0933191940616,16.889514923095703,-69.71867370605469,-3.555487632751465,-0.028168482705950737,-0.4136376976966858,0.7077358365058899
-983.032873806999,16.857900619506836,-70.15009307861328,-2.804583787918091,-0.03144870325922966,-0.40004265308380127,0.7084428668022156
-981.9724284199364,16.822830200195312,-70.56714630126953,-2.053011894226074,-0.03468436747789383,-0.3865242600440979,0.7089962363243103
-980.9119830328739,16.784353256225586,-70.96990203857422,-1.300933599472046,-0.03787621483206749,-0.37308186292648315,0.7093982696533203
-979.8515376458113,16.742515563964844,-71.35843658447266,-0.5485095381736755,-0.04102495312690735,-0.35971492528915405,0.7096474170684814
-978.7910922587487,16.697359085083008,-71.73284149169922,0.2040856033563614,-0.044131167232990265,-0.34642332792282104,0.7097049355506897
-977.7306468716861,16.6489315032959,-72.09319305419922,0.9566138982772827,-0.04719499126076698,-0.333208829164505,0.7095353603363037
-976.6702014846236,16.597278594970703,-72.43956756591797,1.7088804244995117,-0.050216834992170334,-0.3200719356536865,0.7092163562774658
